title,url,type
ملی‌پوش بسکتبال ژاپن همبازی جیمز شد,https://www.varzesh3.com/news/1866530/ملی-پوش-بسکتبال-ژاپن-همبازی-جیمز-شد,['text-type']
حمله به دو طلاى المپيك پاريس از قلب جويبار,https://www.varzesh3.com/news/1866529/حمله-به-دو-طلاى-المپيك-پاريس-از-قلب-جويبار,['text-type']
سخت‌ترین بازی ذوب‌آهن در بسکتبال غرب آسیا,https://www.varzesh3.com/news/1866547/سخت-ترین-بازی-ذوب-آهن-در-بسکتبال-غرب-آسیا,['text-type']
خلاصه بسکتبال دیترویت پیستونز - میلواکی باکس,https://video.varzesh3.com/video/270682/خلاصه-بسکتبال-دیترویت-پیستونز-میلواکی-باکس,['video-type']
خلاصه بسکتبال شیکاگو بولز - آتلانتا هاوکس,https://video.varzesh3.com/video/270681/خلاصه-بسکتبال-شیکاگو-بولز-آتلانتا-هاوکس,['video-type']
عموزاد: براى رسيدن به طلاى المپيك پا پس نمى‌كشم,https://video.varzesh3.com/video/270680/عموزاد-براى-رسيدن-به-طلاى-المپيك-پا-پس-نمى-كشم,['video-type']
خلاصه بسکتبال اورلاندو مجیک - بوستون سلتیکس,https://video.varzesh3.com/video/270676/خلاصه-بسکتبال-اورلاندو-مجیک-بوستون-سلتیکس,['video-type']
ارسلان با صربستان هم قهرمان شود، افتخار ايران است,https://video.varzesh3.com/video/270674/دبير-ارسلان-با-صربستان-هم-قهرمان-شود-افتخار-ايران-است,['video-type']
نصب اجباری دوربین در کلاه راننده‌های فرمول یک,https://www.varzesh3.com/news/1866532/نصب-اجباری-دوربین-در-کلاه-راننده-های-فرمول-یک,['text-type']
دبير: به قاسمپور گفتم يك سال خودت را جلو بيانداز,https://video.varzesh3.com/video/270673/دبير-به-قاسمپور-گفتم-يك-سال-خودت-را-جلو-بيانداز,['video-type']
ایران بدنبال اولین سهمیه المپیک در اسکیت برد,https://www.varzesh3.com/news/1866531/ایران-بدنبال-اولین-سهمیه-المپیک-در-اسکیت-برد,['text-type']
خلاصه بسکتبال هیوستون راکتس - مینسوتا تیمبرولوز,https://video.varzesh3.com/video/270672/خلاصه-بسکتبال-هیوستون-راکتس-مینسوتا-تیمبرولوز,['video-type']
قهرمان المپیک و شرکت در انتخابات بزرگ 2025,https://www.varzesh3.com/news/1866503/قهرمان-المپیک-و-شرکت-در-انتخابات-بزرگ-2025,['text-type']
خلاصه بسکتبال ساکرامنتو کینگز - ممفیس گریزلیز,https://video.varzesh3.com/video/270671/خلاصه-بسکتبال-ساکرامنتو-کینگز-ممفیس-گریزلیز,['video-type']
برآورد هزینه فدراسیون کشتی در سال,https://www.varzesh3.com/news/1866491/برآورد-هزینه-فدراسیون-کشتی-در-سال,['text-type']
تغییر ترکیب تیم ملی تنیس روی میز بانوان,https://www.varzesh3.com/news/1866490/تغییر-ترکیب-تیم-ملی-تنیس-روی-میز-بانوان,['text-type']
در انتظار شلوغ ترین سال تاریخ والیبال ایران!,https://www.varzesh3.com/news/1866488/در-انتظار-شلوغ-ترین-سال-تاریخ-والیبال-ایران,['text-type']
خاچانوف: خودم را دوباره کشف کرده‌ام,https://www.varzesh3.com/news/1866481/خاچانوف-خودم-را-دوباره-کشف-کرده-ام,['text-type']
فردی: رقابت نزدیکی با رقبا برای کسب قهرمانی داریم,https://www.varzesh3.com/news/1866480/فردی-رقابت-نزدیکی-با-رقبا-برای-کسب-قهرمانی-داریم,['text-type']
صعود خاچانوف به نیمه‌نهایی گرنداسلم استرالیا,https://www.varzesh3.com/news/1866479/صعود-خاچانوف-به-نیمه-نهایی-گرنداسلم-استرالیا,['text-type']
هندبالیست ۱۸ ساله ایرانی دومین بازیکن تورنمنت,https://www.varzesh3.com/news/1866478/هندبالیست۱۸-ساله-ایرانی-دومین-بازیکن-تورنمنت,['text-type']
لیگ NBA| میلواکی، تنها میهمان پیروز,https://www.varzesh3.com/news/1866476/لیگ-nba-میلواکی-تنها-میهمان-پیروز,['text-type']
رقابت ۱۲۰ تنیسور داخلی و خارجی در تور جهانی,https://www.varzesh3.com/news/1866482/رقابت-۱۲۰-تنیسور-داخلی-و-خارجی-در-تور-جهانی,['text-type']
تنها تیم ایرانی که ۳۲ سال در صدر رنکینگ جهان است,https://www.varzesh3.com/news/1866475/تنها-تیم-ایرانی-که-۳۲-سال-در-صدر-رنکینگ-جهان-است,['text-type']
بازگشایی رسمی پیست بین‌المللی اسکی دیزین,https://www.varzesh3.com/news/1866477/بازگشایی-رسمی-پیست-بین-المللی-اسکی-دیزین,['text-type']
اخراج جنجالی ستاره دوومیدانی آمریکا از هواپیما,https://www.varzesh3.com/news/1866474/اخراج-جنجالی-ستاره-دوومیدانی-آمریکا-از-هواپیما,['text-type']
تیم توفارقان با مشکلات مالی دسته و پنجه نرم می کند,https://www.varzesh3.com/news/1866473/تیم-توفارقان-با-مشکلات-مالی-دسته-و-پنجه-نرم-می-کند,['text-type']
